"Story","Title","Result","Date","Stability","Duration (s)"
"Add Order","Order Number","SUCCESS","2023-07-22T08:38:53.548Z[Etc/UTC]","0.0","40.34"
"Add Order","Request and Received Date","SUCCESS","2023-07-22T08:39:33.931Z[Etc/UTC]","0.0","23.0"
"Add Order","Reception Time","SUCCESS","2023-07-22T08:39:56.968Z[Etc/UTC]","0.0","31.4"
"Add Order","Site Name","SUCCESS","2023-07-22T08:40:28.404Z[Etc/UTC]","0.0","10.0"
"Add Order","Requester's Name","SUCCESS","2023-07-22T08:40:38.445Z[Etc/UTC]","0.0","15.65"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-07-22T08:40:54.128Z[Etc/UTC]","0.0","33.77"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-07-22T08:41:27.939Z[Etc/UTC]","0.0","9.8"
"Add Order","Add samples","SUCCESS","2023-07-22T08:41:37.796Z[Etc/UTC]","0.0","13.12"
"Add Order","Collection Date","SUCCESS","2023-07-22T08:41:50.956Z[Etc/UTC]","0.0","33.8"
"Add Order","Collection Time","SUCCESS","2023-07-22T08:42:24.79Z[Etc/UTC]","0.0","34.02"
"Add Order","Collector","SUCCESS","2023-07-22T08:42:58.845Z[Etc/UTC]","0.0","10.67"
"Add Order","Available Tests and Panels","SUCCESS","2023-07-22T08:43:09.552Z[Etc/UTC]","0.0","18.55"
"Add Order","Patient Search","SUCCESS","2023-07-22T08:43:28.145Z[Etc/UTC]","0.0","15.28"
"Add Order","Patient Information","SUCCESS","2023-07-22T08:43:43.466Z[Etc/UTC]","0.0","146.12"
"Add Order","Overall Page","SUCCESS","2023-07-22T08:46:09.628Z[Etc/UTC]","0.0","36.83"
