"Story","Title","Result","Date","Stability","Duration (s)"
"Add Order","Order Number","SUCCESS","2023-03-16T20:30:10.473Z[Etc/UTC]","0.0","34.74"
"Add Order","Request and Received Date","SUCCESS","2023-03-16T20:30:45.258Z[Etc/UTC]","0.0","18.37"
"Add Order","Reception Time","SUCCESS","2023-03-16T20:31:03.666Z[Etc/UTC]","0.0","32.46"
"Add Order","Site Name","SUCCESS","2023-03-16T20:31:36.159Z[Etc/UTC]","0.0","10.55"
"Add Order","Requester's Name","SUCCESS","2023-03-16T20:31:46.754Z[Etc/UTC]","0.0","16.42"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-03-16T20:32:03.206Z[Etc/UTC]","0.0","34.66"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-03-16T20:32:37.899Z[Etc/UTC]","0.0","10.5"
"Add Order","Add samples","SUCCESS","2023-03-16T20:32:48.43Z[Etc/UTC]","0.0","13.9"
"Add Order","Collection Date","SUCCESS","2023-03-16T20:33:02.362Z[Etc/UTC]","0.0","34.92"
"Add Order","Collection Time","SUCCESS","2023-03-16T20:33:37.318Z[Etc/UTC]","0.0","36.93"
"Add Order","Collector","SUCCESS","2023-03-16T20:34:14.274Z[Etc/UTC]","0.0","11.69"
"Add Order","Available Tests and Panels","SUCCESS","2023-03-16T20:34:25.997Z[Etc/UTC]","0.0","18.13"
"Add Order","Patient Search","SUCCESS","2023-03-16T20:34:44.156Z[Etc/UTC]","0.0","16.22"
"Add Order","Patient Information","SUCCESS","2023-03-16T20:35:00.405Z[Etc/UTC]","0.0","144.49"
"Add Order","Overall Page","SUCCESS","2023-03-16T20:37:24.937Z[Etc/UTC]","0.0","37.3"
