"Story","Title","Result","Date","Stability","Duration (s)"
"Add Order","Order Number","ERROR","2023-03-22T17:10:41.077Z[Etc/UTC]","0.0","27.04"
"Add Order","Request and Received Date","ERROR","2023-03-22T17:11:08.176Z[Etc/UTC]","0.0","13.5"
"Add Order","Reception Time","ERROR","2023-03-22T17:11:21.718Z[Etc/UTC]","0.0","40.1"
"Add Order","Site Name","ERROR","2023-03-22T17:12:01.858Z[Etc/UTC]","0.0","13.44"
"Add Order","Requester's Name","ERROR","2023-03-22T17:12:15.339Z[Etc/UTC]","0.0","13.31"
"Add Order","Requester Phone/Fax/Email","ERROR","2023-03-22T17:12:28.681Z[Etc/UTC]","0.0","56.46"
"Add Order","Payment fields and Sampling performed for analysis","ERROR","2023-03-22T17:13:25.179Z[Etc/UTC]","0.0","13.76"
"Add Order","Add samples","ERROR","2023-03-22T17:13:38.977Z[Etc/UTC]","0.0","13.29"
"Add Order","Collection Date","ERROR","2023-03-22T17:13:52.307Z[Etc/UTC]","0.0","26.94"
"Add Order","Collection Time","ERROR","2023-03-22T17:14:19.283Z[Etc/UTC]","0.0","40.39"
"Add Order","Collector","ERROR","2023-03-22T17:14:59.711Z[Etc/UTC]","0.0","13.24"
"Add Order","Available Tests and Panels","ERROR","2023-03-22T17:15:12.989Z[Etc/UTC]","0.0","13.24"
"Add Order","Patient Search","ERROR","2023-03-22T17:15:26.266Z[Etc/UTC]","0.0","13.27"
"Add Order","Patient Information","ERROR","2023-03-22T17:15:39.57Z[Etc/UTC]","0.0","26.6"
"Add Order","Overall Page","ERROR","2023-03-22T17:16:06.206Z[Etc/UTC]","0.0","40.93"
