"Story","Title","Result","Date","Stability","Duration (s)"
"Add Order","Order Number","SUCCESS","2023-03-17T00:00:59.779Z[Etc/UTC]","0.0","32.71"
"Add Order","Request and Received Date","SUCCESS","2023-03-17T00:01:32.534Z[Etc/UTC]","0.0","18.93"
"Add Order","Reception Time","SUCCESS","2023-03-17T00:01:51.506Z[Etc/UTC]","0.0","30.93"
"Add Order","Site Name","SUCCESS","2023-03-17T00:02:22.475Z[Etc/UTC]","0.0","10.0"
"Add Order","Requester's Name","SUCCESS","2023-03-17T00:02:32.518Z[Etc/UTC]","0.0","14.53"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-03-17T00:02:47.086Z[Etc/UTC]","0.0","33.75"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-03-17T00:03:20.88Z[Etc/UTC]","0.0","9.85"
"Add Order","Add samples","SUCCESS","2023-03-17T00:03:30.799Z[Etc/UTC]","0.0","13.83"
"Add Order","Collection Date","SUCCESS","2023-03-17T00:03:44.678Z[Etc/UTC]","0.0","33.45"
"Add Order","Collection Time","SUCCESS","2023-03-17T00:04:18.171Z[Etc/UTC]","0.0","35.03"
"Add Order","Collector","SUCCESS","2023-03-17T00:04:53.241Z[Etc/UTC]","0.0","10.58"
"Add Order","Available Tests and Panels","SUCCESS","2023-03-17T00:05:03.858Z[Etc/UTC]","0.0","17.89"
"Add Order","Patient Search","SUCCESS","2023-03-17T00:05:21.786Z[Etc/UTC]","0.0","15.29"
"Add Order","Patient Information","SUCCESS","2023-03-17T00:05:37.123Z[Etc/UTC]","0.0","145.69"
"Add Order","Overall Page","SUCCESS","2023-03-17T00:08:02.851Z[Etc/UTC]","0.0","37.35"
