"Story","Title","Result","Date","Stability","Duration (s)"
"Add Order","Order Number","SUCCESS","2023-03-16T13:58:55.819Z[Etc/UTC]","0.0","21.75"
"Add Order","Request and Received Date","SUCCESS","2023-03-16T13:59:17.604Z[Etc/UTC]","0.0","20.43"
"Add Order","Reception Time","SUCCESS","2023-03-16T13:59:38.085Z[Etc/UTC]","0.0","34.0"
"Add Order","Site Name","SUCCESS","2023-03-16T14:00:12.133Z[Etc/UTC]","0.0","11.5"
"Add Order","Requester's Name","SUCCESS","2023-03-16T14:00:23.682Z[Etc/UTC]","0.0","16.67"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-03-16T14:00:40.396Z[Etc/UTC]","0.0","36.36"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-03-16T14:01:16.832Z[Etc/UTC]","0.0","10.97"
"Add Order","Add samples","SUCCESS","2023-03-16T14:01:27.849Z[Etc/UTC]","0.0","10.97"
"Add Order","Collection Date","SUCCESS","2023-03-16T14:01:38.856Z[Etc/UTC]","0.0","35.61"
"Add Order","Collection Time","SUCCESS","2023-03-16T14:02:14.499Z[Etc/UTC]","0.0","37.72"
"Add Order","Collector","SUCCESS","2023-03-16T14:02:52.252Z[Etc/UTC]","0.0","12.32"
"Add Order","Available Tests and Panels","SUCCESS","2023-03-16T14:03:04.612Z[Etc/UTC]","0.0","20.23"
"Add Order","Patient Search","SUCCESS","2023-03-16T14:03:24.881Z[Etc/UTC]","0.0","16.72"
"Add Order","Patient Information","SUCCESS","2023-03-16T14:03:41.646Z[Etc/UTC]","0.0","148.51"
"Add Order","Overall Page","SUCCESS","2023-03-16T14:06:10.197Z[Etc/UTC]","0.0","39.1"
