"Story","Title","Result","Date","Stability","Duration (s)"
"Add Order","Order Number","SUCCESS","2023-03-20T15:49:21.227Z[Etc/UTC]","0.0","41.72"
"Add Order","Request and Received Date","SUCCESS","2023-03-20T15:50:02.988Z[Etc/UTC]","0.0","22.91"
"Add Order","Reception Time","SUCCESS","2023-03-20T15:50:25.975Z[Etc/UTC]","0.0","32.66"
"Add Order","Site Name","SUCCESS","2023-03-20T15:50:58.673Z[Etc/UTC]","0.0","10.65"
"Add Order","Requester's Name","SUCCESS","2023-03-20T15:51:09.361Z[Etc/UTC]","0.0","16.11"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-03-20T15:51:25.509Z[Etc/UTC]","0.0","34.95"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-03-20T15:52:00.496Z[Etc/UTC]","0.0","10.14"
"Add Order","Add samples","SUCCESS","2023-03-20T15:52:10.67Z[Etc/UTC]","0.0","13.71"
"Add Order","Collection Date","SUCCESS","2023-03-20T15:52:24.418Z[Etc/UTC]","0.0","34.16"
"Add Order","Collection Time","SUCCESS","2023-03-20T15:52:58.609Z[Etc/UTC]","0.0","36.76"
"Add Order","Collector","SUCCESS","2023-03-20T15:53:35.405Z[Etc/UTC]","0.0","11.45"
"Add Order","Available Tests and Panels","SUCCESS","2023-03-20T15:53:46.917Z[Etc/UTC]","0.0","18.74"
"Add Order","Patient Search","SUCCESS","2023-03-20T15:54:05.693Z[Etc/UTC]","0.0","15.62"
"Add Order","Patient Information","SUCCESS","2023-03-20T15:54:21.349Z[Etc/UTC]","0.0","143.7"
"Add Order","Overall Page","SUCCESS","2023-03-20T15:56:45.09Z[Etc/UTC]","0.0","36.92"
