"Story","Title","Result","Date","Stability","Duration (s)"
"Add Order","Order Number","SUCCESS","2023-03-16T22:06:42.664Z[Etc/UTC]","0.0","35.7"
"Add Order","Request and Received Date","SUCCESS","2023-03-16T22:07:18.404Z[Etc/UTC]","0.0","19.95"
"Add Order","Reception Time","SUCCESS","2023-03-16T22:07:38.39Z[Etc/UTC]","0.0","33.87"
"Add Order","Site Name","SUCCESS","2023-03-16T22:08:12.306Z[Etc/UTC]","0.0","11.41"
"Add Order","Requester's Name","SUCCESS","2023-03-16T22:08:23.76Z[Etc/UTC]","0.0","16.39"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-03-16T22:08:40.187Z[Etc/UTC]","0.0","36.31"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-03-16T22:09:16.537Z[Etc/UTC]","0.0","10.77"
"Add Order","Add samples","SUCCESS","2023-03-16T22:09:27.343Z[Etc/UTC]","0.0","14.07"
"Add Order","Collection Date","SUCCESS","2023-03-16T22:09:41.468Z[Etc/UTC]","0.0","34.75"
"Add Order","Collection Time","SUCCESS","2023-03-16T22:10:16.257Z[Etc/UTC]","0.0","37.2"
"Add Order","Collector","SUCCESS","2023-03-16T22:10:53.493Z[Etc/UTC]","0.0","11.62"
"Add Order","Available Tests and Panels","SUCCESS","2023-03-16T22:11:05.153Z[Etc/UTC]","0.0","18.56"
"Add Order","Patient Search","SUCCESS","2023-03-16T22:11:23.756Z[Etc/UTC]","0.0","16.25"
"Add Order","Patient Information","SUCCESS","2023-03-16T22:11:40.047Z[Etc/UTC]","0.0","145.78"
"Add Order","Overall Page","SUCCESS","2023-03-16T22:14:05.861Z[Etc/UTC]","0.0","37.86"
