"Story","Title","Result","Date","Stability","Duration (s)"
"Modify Order","Order Search","ERROR","2023-03-17T00:09:06.897Z[Etc/UTC]","0.0","79.82"
"Modify Order","Order Information","FAILURE","2023-03-17T00:10:26.771Z[Etc/UTC]","0.0","8.48"
"Modify Order","Current Test Information","FAILURE","2023-03-17T00:10:35.291Z[Etc/UTC]","0.0","8.12"
"Modify Order","Available Test Information","FAILURE","2023-03-17T00:10:43.444Z[Etc/UTC]","0.0","8.05"
"Modify Order","Add Order","ERROR","2023-03-17T00:10:51.533Z[Etc/UTC]","0.0","60.53"
"Modify Order","Collection Date","ERROR","2023-03-17T00:11:52.101Z[Etc/UTC]","0.0","241.48"
"Modify Order","Collection Time","ERROR","2023-03-17T00:15:53.616Z[Etc/UTC]","0.0","301.21"
"Modify Order","Add Tests","ERROR","2023-03-17T00:20:54.864Z[Etc/UTC]","0.0","120.56"
"Patient Entry","Verification","FAILURE","2023-03-17T00:25:48.683Z[Etc/UTC]","0.0","13.07"
"Referral Work Flow","Register a patient's sample for Covid testing and send the lab request and sample to the Central Health Laboratory","ERROR","2023-03-17T00:27:11.647Z[Etc/UTC]","0.0","163.3"
"Results Entry","Searching for test result entry forms","FAILURE","2023-03-17T00:30:23.034Z[Etc/UTC]","0.0","20.2"
"Results Entry","Overall Page","FAILURE","2023-03-17T00:32:04.973Z[Etc/UTC]","0.0","37.7"
"Results Entry","Changing Results","FAILURE","2023-03-17T00:33:33.523Z[Etc/UTC]","0.0","12.31"
"Test Management Feature","Open Rename Existing Test Names page","ERROR","2023-03-17T00:33:52.926Z[Etc/UTC]","0.0","118.8"
"Test Management Feature","User rejects the testName updates","ERROR","2023-03-17T00:35:51.768Z[Etc/UTC]","0.0","59.44"
"Test Management Feature","User cancels the testName updates","ERROR","2023-03-17T00:36:51.247Z[Etc/UTC]","0.0","59.14"
"Test Management Feature","Add new tests","ERROR","2023-03-17T00:37:50.429Z[Etc/UTC]","0.0","73.38"
"Test Management Feature","Verify Added new testName","FAILURE","2023-03-17T00:39:03.84Z[Etc/UTC]","0.0","21.25"
"Test Management Feature","Modify test details","ERROR","2023-03-17T00:39:25.127Z[Etc/UTC]","0.0","102.76"
"WorkPlan Feature","Work plan by Panel","FAILURE","2023-03-17T00:43:50.551Z[Etc/UTC]","0.0","14.57"
"WorkPlan Feature","Verification","ERROR","2023-03-17T00:44:16.062Z[Etc/UTC]","0.0","73.41"
