"Story","Title","Result","Date","Stability","Duration (s)"
"Modify Order","Order Information","FAILURE","2023-03-16T21:10:38.441Z[Etc/UTC]","0.0","8.12"
"Modify Order","Current Test Information","FAILURE","2023-03-16T21:10:46.611Z[Etc/UTC]","0.0","7.48"
"Modify Order","Available Test Information","FAILURE","2023-03-16T21:10:54.128Z[Etc/UTC]","0.0","7.28"
"Patient Entry","Verification","FAILURE","2023-03-16T21:25:57.367Z[Etc/UTC]","0.0","12.52"
"Results Entry","Overall Page","FAILURE","2023-03-16T21:32:18.109Z[Etc/UTC]","0.0","38.26"
"Results Entry","Changing Results","FAILURE","2023-03-16T21:33:50.308Z[Etc/UTC]","0.0","11.57"
"Test Management Feature","Verify Added new testName","FAILURE","2023-03-16T21:39:19.201Z[Etc/UTC]","0.0","19.73"
"Validation","Validation","FAILURE","2023-03-16T21:41:45.158Z[Etc/UTC]","0.0","67.15"
"Validation","Overall Page","FAILURE","2023-03-16T21:42:52.35Z[Etc/UTC]","0.0","13.46"
"WorkPlan Feature","Work plan by Panel","FAILURE","2023-03-16T21:43:44.294Z[Etc/UTC]","0.0","14.95"
