"Story","Title","Result","Date","Stability","Duration (s)"
"Add Order","Order Number","SUCCESS","2023-02-23T13:27:32.756Z[Etc/UTC]","0.0","20.33"
"Add Order","Request and Received Date","SUCCESS","2023-02-23T13:27:53.121Z[Etc/UTC]","0.0","18.04"
"Add Order","Reception Time","SUCCESS","2023-02-23T13:28:11.19Z[Etc/UTC]","0.0","29.46"
"Add Order","Site Name","SUCCESS","2023-02-23T13:28:40.679Z[Etc/UTC]","0.0","9.69"
"Add Order","Requester's Name","SUCCESS","2023-02-23T13:28:50.407Z[Etc/UTC]","0.0","13.79"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-02-23T13:29:04.233Z[Etc/UTC]","0.0","31.06"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-02-23T13:29:35.336Z[Etc/UTC]","0.0","9.25"
"Add Order","Add samples","SUCCESS","2023-02-23T13:29:44.645Z[Etc/UTC]","0.0","10.13"
"Add Order","Collection Date","SUCCESS","2023-02-23T13:29:54.802Z[Etc/UTC]","0.0","32.55"
"Add Order","Collection Time","SUCCESS","2023-02-23T13:30:27.386Z[Etc/UTC]","0.0","33.16"
"Add Order","Collector","SUCCESS","2023-02-23T13:31:00.578Z[Etc/UTC]","0.0","10.36"
"Add Order","Available Tests and Panels","SUCCESS","2023-02-23T13:31:10.967Z[Etc/UTC]","0.0","16.78"
"Add Order","Patient Search","SUCCESS","2023-02-23T13:31:27.773Z[Etc/UTC]","0.0","14.63"
"Add Order","Patient Information","SUCCESS","2023-02-23T13:31:42.431Z[Etc/UTC]","0.0","142.51"
"Add Order","Overall Page","SUCCESS","2023-02-23T13:34:04.973Z[Etc/UTC]","0.0","35.89"
