"Story","Title","Result","Date","Stability","Duration (s)"
"EMR-LIS Work Flows","Lab Odering","SUCCESS","2023-03-20T15:48:40.65Z[Etc/UTC]","0.0","0.14"
"EMR-LIS Work Flows","Report Lab Results","SUCCESS","2023-03-20T15:48:40.858Z[Etc/UTC]","0.0","0.05"
"Add Batch Orders Feature","Add Batch Orders action","SUCCESS","2023-03-20T15:48:40.966Z[Etc/UTC]","0.0","24.43"
"Add Batch Orders Feature","Batch Order Entry Screen","SUCCESS","2023-03-20T15:49:05.434Z[Etc/UTC]","0.0","15.73"
"Add Order","Order Number","SUCCESS","2023-03-20T15:49:21.227Z[Etc/UTC]","0.0","41.72"
"Add Order","Request and Received Date","SUCCESS","2023-03-20T15:50:02.988Z[Etc/UTC]","0.0","22.91"
"Add Order","Reception Time","SUCCESS","2023-03-20T15:50:25.975Z[Etc/UTC]","0.0","32.66"
"Add Order","Site Name","SUCCESS","2023-03-20T15:50:58.673Z[Etc/UTC]","0.0","10.65"
"Add Order","Requester's Name","SUCCESS","2023-03-20T15:51:09.361Z[Etc/UTC]","0.0","16.11"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-03-20T15:51:25.509Z[Etc/UTC]","0.0","34.95"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-03-20T15:52:00.496Z[Etc/UTC]","0.0","10.14"
"Add Order","Add samples","SUCCESS","2023-03-20T15:52:10.67Z[Etc/UTC]","0.0","13.71"
"Add Order","Collection Date","SUCCESS","2023-03-20T15:52:24.418Z[Etc/UTC]","0.0","34.16"
"Add Order","Collection Time","SUCCESS","2023-03-20T15:52:58.609Z[Etc/UTC]","0.0","36.76"
"Add Order","Collector","SUCCESS","2023-03-20T15:53:35.405Z[Etc/UTC]","0.0","11.45"
"Add Order","Available Tests and Panels","SUCCESS","2023-03-20T15:53:46.917Z[Etc/UTC]","0.0","18.74"
"Add Order","Patient Search","SUCCESS","2023-03-20T15:54:05.693Z[Etc/UTC]","0.0","15.62"
"Add Order","Patient Information","SUCCESS","2023-03-20T15:54:21.349Z[Etc/UTC]","0.0","143.7"
"Add Order","Overall Page","SUCCESS","2023-03-20T15:56:45.09Z[Etc/UTC]","0.0","36.92"
"Configurable Items Feature","Order Entry Configuration","SUCCESS","2023-03-20T15:57:22.044Z[Etc/UTC]","0.0","8.59"
"User Login","Failing or Succeeding to Login","SUCCESS","2023-03-20T15:57:30.67Z[Etc/UTC]","0.0","19.16"
"Modify Order","Order Search","SUCCESS","2023-03-20T15:57:49.86Z[Etc/UTC]","0.0","33.96"
"Modify Order","Order Information","SUCCESS","2023-03-20T15:58:23.856Z[Etc/UTC]","0.0","39.37"
"Modify Order","Current Test Information","SUCCESS","2023-03-20T15:59:03.267Z[Etc/UTC]","0.0","30.36"
"Modify Order","Available Test Information","SUCCESS","2023-03-20T15:59:33.664Z[Etc/UTC]","0.0","10.79"
"Modify Order","Add Order","SUCCESS","2023-03-20T15:59:44.49Z[Etc/UTC]","0.0","35.38"
"Modify Order","Collection Date","SUCCESS","2023-03-20T16:00:19.913Z[Etc/UTC]","0.0","54.23"
"Modify Order","Collection Time","SUCCESS","2023-03-20T16:01:14.176Z[Etc/UTC]","0.0","66.84"
"Modify Order","Add Tests","SUCCESS","2023-03-20T16:02:21.046Z[Etc/UTC]","0.0","42.76"
"Modify Order","Verification","SUCCESS","2023-03-20T16:03:03.837Z[Etc/UTC]","0.0","11.85"
"Non Conformity workflow","Search Non Conformity report","SUCCESS","2023-03-20T16:03:15.72Z[Etc/UTC]","0.0","18.7"
"Patient Entry","Patient Search","SUCCESS","2023-03-20T16:03:34.456Z[Etc/UTC]","0.0","60.32"
"Patient Entry","Patient Information","SUCCESS","2023-03-20T16:04:34.814Z[Etc/UTC]","0.0","48.11"
"Patient Entry","Overall Page","SUCCESS","2023-03-20T16:05:22.962Z[Etc/UTC]","0.0","34.67"
"Patient Entry","Verification","SUCCESS","2023-03-20T16:05:57.667Z[Etc/UTC]","0.0","15.77"
"Patient Report","Patient Report With no result yet","SUCCESS","2023-03-20T16:06:13.475Z[Etc/UTC]","0.0","17.77"
"Patient Report","Patient Report With Partial result reported","SUCCESS","2023-03-20T16:06:31.28Z[Etc/UTC]","0.0","47.63"
"Referral Work Flow","Register a patient's sample for Covid testing and send the lab request and sample to the Central Health Laboratory","ERROR","2023-03-20T16:07:18.944Z[Etc/UTC]","0.0","117.2"
"Referral Work Flow","Register test requests sent electronically from the Flu Clinic","SUCCESS","2023-03-20T16:09:16.185Z[Etc/UTC]","0.0","12.05"
"Results Entry","Accessing Results Entry","SUCCESS","2023-03-20T16:09:28.273Z[Etc/UTC]","0.0","17.56"
"Results Entry","Searching for test result entry forms","SUCCESS","2023-03-20T16:09:45.867Z[Etc/UTC]","0.0","24.18"
"Results Entry","Results Entry Set-up","SUCCESS","2023-03-20T16:10:10.081Z[Etc/UTC]","0.0","62.2"
"Results Entry","Entering Test Results","SUCCESS","2023-03-20T16:11:12.317Z[Etc/UTC]","0.0","17.92"
"Results Entry","Overall Page","SUCCESS","2023-03-20T16:11:30.277Z[Etc/UTC]","0.0","43.7"
"Results Entry","Accept As Is functionality","SUCCESS","2023-03-20T16:12:26.648Z[Etc/UTC]","0.0","15.56"
"Results Entry","Verification","SUCCESS","2023-03-20T16:12:42.253Z[Etc/UTC]","0.0","9.64"
"Results Entry","Changing Results","SUCCESS","2023-03-20T16:12:51.926Z[Etc/UTC]","0.0","12.45"
"Test Management Feature","Validate list items in Test Management menu","SUCCESS","2023-03-20T16:13:04.423Z[Etc/UTC]","0.0","8.14"
"Test Management Feature","Open Rename Existing Test Names page","SUCCESS","2023-03-20T16:13:12.596Z[Etc/UTC]","0.0","33.04"
"Test Management Feature","User rejects the testName updates","SUCCESS","2023-03-20T16:13:45.668Z[Etc/UTC]","0.0","16.27"
"Test Management Feature","User cancels the testName updates","SUCCESS","2023-03-20T16:14:01.974Z[Etc/UTC]","0.0","16.47"
"Test Management Feature","Add new tests","ERROR","2023-03-20T16:14:18.477Z[Etc/UTC]","0.0","31.61"
"Test Management Feature","Verify Added new testName","FAILURE","2023-03-20T16:14:50.124Z[Etc/UTC]","0.0","22.37"
"Test Management Feature","Modify test details","SUCCESS","2023-03-20T16:15:12.533Z[Etc/UTC]","0.0","52.05"
"User management Feature","Create new user","SUCCESS","2023-03-20T16:16:04.619Z[Etc/UTC]","0.0","22.07"
"Validation","Validation","SUCCESS","2023-03-20T16:16:26.722Z[Etc/UTC]","0.0","96.54"
"Validation","Overall Page","SUCCESS","2023-03-20T16:18:03.3Z[Etc/UTC]","0.0","19.4"
"Validation","Verification","SUCCESS","2023-03-20T16:18:22.738Z[Etc/UTC]","0.0","14.98"
"WorkPlan Feature","Work plan by Test","SUCCESS","2023-03-20T16:18:37.756Z[Etc/UTC]","0.0","15.31"
"WorkPlan Feature","Work plan by Panel","SUCCESS","2023-03-20T16:18:53.098Z[Etc/UTC]","0.0","10.41"
"WorkPlan Feature","Work plan by Unit","SUCCESS","2023-03-20T16:19:03.544Z[Etc/UTC]","0.0","9.58"
"WorkPlan Feature","Verification","SUCCESS","2023-03-20T16:19:13.16Z[Etc/UTC]","0.0","64.62"
