"Story","Title","Result","Date","Stability","Duration (s)"
"Modify Order","Order Search","FAILURE","2023-02-22T23:27:16.767Z[Etc/UTC]","0.0","35.62"
"Modify Order","Order Information","FAILURE","2023-02-22T23:27:52.424Z[Etc/UTC]","0.0","6.31"
"Modify Order","Current Test Information","FAILURE","2023-02-22T23:27:58.767Z[Etc/UTC]","0.0","5.76"
"Modify Order","Available Test Information","FAILURE","2023-02-22T23:28:04.558Z[Etc/UTC]","0.0","6.05"
"Modify Order","Add Order","ERROR","2023-02-22T23:28:10.636Z[Etc/UTC]","0.0","57.6"
"Modify Order","Collection Date","ERROR","2023-02-22T23:29:08.267Z[Etc/UTC]","0.0","232.3"
"Modify Order","Collection Time","ERROR","2023-02-22T23:33:00.595Z[Etc/UTC]","0.0","289.88"
"Modify Order","Add Tests","ERROR","2023-02-22T23:37:50.505Z[Etc/UTC]","0.0","116.17"
"Referral Work Flow","Register a patient's sample for Covid testing and send the lab request and sample to the Central Health Laboratory","FAILURE","2023-02-22T23:42:24.187Z[Etc/UTC]","0.0","118.21"
"Results Entry","Accessing Results Entry","ERROR","2023-02-22T23:49:26.637Z[Etc/UTC]","0.0","324.31"
"Results Entry","Changing Results","FAILURE","2023-02-22T23:57:56.28Z[Etc/UTC]","0.0","10.06"
"Validation","Validation","FAILURE","2023-02-22T23:59:01.594Z[Etc/UTC]","0.0","28.99"
"Validation","Overall Page","FAILURE","2023-02-22T23:59:30.61Z[Etc/UTC]","0.0","13.0"
"WorkPlan Feature","Work plan by Test","FAILURE","2023-02-22T23:59:58.153Z[Etc/UTC]","0.0","7.57"
"WorkPlan Feature","Work plan by Panel","FAILURE","2023-02-23T00:00:05.747Z[Etc/UTC]","0.0","9.31"
"WorkPlan Feature","Work plan by Unit","FAILURE","2023-02-23T00:00:15.087Z[Etc/UTC]","0.0","6.39"
"WorkPlan Feature","Verification","FAILURE","2023-02-23T00:00:21.507Z[Etc/UTC]","0.0","17.79"
