"Story","Title","Result","Date","Stability","Duration (s)"
"EMR-LIS Work Flows","Lab Odering","SUCCESS","2023-02-22T23:21:41.563Z[Etc/UTC]","0.0","0.14"
"EMR-LIS Work Flows","Report Lab Results","SUCCESS","2023-02-22T23:21:41.763Z[Etc/UTC]","0.0","0.02"
"Add Order","Order Number","SUCCESS","2023-02-22T23:21:41.835Z[Etc/UTC]","0.0","18.91"
"Add Order","Request and Received Date","SUCCESS","2023-02-22T23:22:00.784Z[Etc/UTC]","0.0","12.14"
"Add Order","Reception Time","SUCCESS","2023-02-22T23:22:12.97Z[Etc/UTC]","0.0","23.69"
"Add Order","Site Name","SUCCESS","2023-02-22T23:22:36.694Z[Etc/UTC]","0.0","7.71"
"Add Order","Requester's Name","SUCCESS","2023-02-22T23:22:44.437Z[Etc/UTC]","0.0","11.66"
"Add Order","Requester Phone/Fax/Email","SUCCESS","2023-02-22T23:22:56.138Z[Etc/UTC]","0.0","23.18"
"Add Order","Payment fields and Sampling performed for analysis","SUCCESS","2023-02-22T23:23:19.352Z[Etc/UTC]","0.0","7.36"
"Add Order","Add samples","SUCCESS","2023-02-22T23:23:26.741Z[Etc/UTC]","0.0","8.24"
"Add Order","Collection Date","SUCCESS","2023-02-22T23:23:35.029Z[Etc/UTC]","0.0","25.51"
"Add Order","Collection Time","SUCCESS","2023-02-22T23:24:00.592Z[Etc/UTC]","0.0","28.34"
"Add Order","Collector","SUCCESS","2023-02-22T23:24:28.967Z[Etc/UTC]","0.0","8.51"
"Add Order","Available Tests and Panels","SUCCESS","2023-02-22T23:24:37.506Z[Etc/UTC]","0.0","15.95"
"Add Order","Patient Search","SUCCESS","2023-02-22T23:24:53.483Z[Etc/UTC]","0.0","8.65"
"Add Order","Patient Information","SUCCESS","2023-02-22T23:25:02.165Z[Etc/UTC]","0.0","96.28"
"Add Order","Overall Page","SUCCESS","2023-02-22T23:26:38.475Z[Etc/UTC]","0.0","24.94"
"User Login","Failing or Succeeding to Login","SUCCESS","2023-02-22T23:27:03.452Z[Etc/UTC]","0.0","13.28"
"Modify Order","Order Search","FAILURE","2023-02-22T23:27:16.767Z[Etc/UTC]","0.0","35.62"
"Modify Order","Order Information","FAILURE","2023-02-22T23:27:52.424Z[Etc/UTC]","0.0","6.31"
"Modify Order","Current Test Information","FAILURE","2023-02-22T23:27:58.767Z[Etc/UTC]","0.0","5.76"
"Modify Order","Available Test Information","FAILURE","2023-02-22T23:28:04.558Z[Etc/UTC]","0.0","6.05"
"Modify Order","Add Order","ERROR","2023-02-22T23:28:10.636Z[Etc/UTC]","0.0","57.6"
